username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
OhWhyC;2016-11-14 15:58;0;0;"I don't like Kejriwal now for opposing Modi's demonetization move.";;;;"798314258014404608";https://twitter.com/OhWhyC/status/798314258014404608
Fatso_perfecto;2016-11-14 15:56;0;0;"#Demonetization @arvindkejriwal n Opposition #unitedforcorruption while #indiafightscorruption via @firstpost http://www. firstpost.com/politics/demon etisation-as-modi-tries-to-gather-public-support-mayawati-mamata-kejriwal-rally-against-move-3105416.html …";;@arvindkejriwal @firstpost;#Demonetization #unitedforcorruption #indiafightscorruption;"798313710033010688";https://twitter.com/Fatso_perfecto/status/798313710033010688
mlq3;2016-11-14 15:54;0;0;"One week of demonetization in India: the good, the bad, and the ugly http:// flip.it/WZqvIy";;;;"798313146028933120";https://twitter.com/mlq3/status/798313146028933120
bsaijyoti;2016-11-14 15:54;0;0;"This chartered Accountant sent a mind blowing open letter to kejriwal on Currency demonetization ! Must Read http:// fb.me/2iI50y9xr";;;;"798313086373359616";https://twitter.com/bsaijyoti/status/798313086373359616
sathya23behappy;2016-11-14 15:51;0;1;"@KicchaSudeep ಸರ್ ನಿಮ್ಮ ಅನಿಸಿಕೆ ತಿಳಿಸಿ.. Rama Rama Re Demonetization version #Modi Modi Re https:// youtu.be/cz2s2OBZDsk";;@KicchaSudeep;#Modi;"798312542455988224";https://twitter.com/sathya23behappy/status/798312542455988224
dsilentassasin;2016-11-14 15:45;0;0;"@sunetrac @DhongiMonk If your kirana guy doesn't know you well enough for 5-6 days credit then you have bigger problems than demonetization";;@sunetrac @DhongiMonk;;"798310950029754368";https://twitter.com/dsilentassasin/status/798310950029754368
PatelHiteshi;2016-11-14 15:44;0;0;"@AamAadmiParty Look at this @ArvindKejriwal #ढोंगीअरविंद , @OfficeOfRG #Pappu Do you support @PMOIndia demonetization plan? @rahulkanwal pic.twitter.com/3JNkopNA8P";;@AamAadmiParty @ArvindKejriwal @OfficeOfRG @PMOIndia @rahulkanwal;#ढ #Pappu;"798310565441507328";https://twitter.com/PatelHiteshi/status/798310565441507328
PutMyselfON;2016-11-14 15:43;0;0;"Hmm, demonetization is REAL... BBC News - Why India wiped out 86% of its cash overnight http://www. bbc.com/news/world-asi a-india-37974423 …";;;;"798310371383767040";https://twitter.com/PutMyselfON/status/798310371383767040
rameem81;2016-11-14 15:37;1;1;"Foreign Tourists Facing Problem Due to Demonetization .. http:// ln.is/com/fBvtC #भाषण_नहीं_राशन_चाहिए";;;#भ;"798308989595369472";https://twitter.com/rameem81/status/798308989595369472
ashisharya1983;2016-11-14 15:37;0;2;"To all those who "Have Questions" Yes we are facing difficulty. But we do jot have any issues against the demonetization . #ArnabOnBlackmoney";;;#ArnabOnBlackmoney;"798308899522654208";https://twitter.com/ashisharya1983/status/798308899522654208
aadabtelangana;2016-11-14 15:30;0;0;"Demonetization : PM Modi says he has given sound sleep to poor, opposition calls it &#039;economic anarchy&#039; http://www. dnaindia.com/india/report-d emonetization-pm-modi-says-he-has-given-sound-sleep-to-poor-opposition-calls-it-economic-anarchy-2273494 …";;;#039 #039;"798307052795916289";https://twitter.com/aadabtelangana/status/798307052795916289
vaswati16th;2016-11-14 15:29;0;0;"Narendra Modi on demonetization : Modi’s demonetization set to cripple Naxalites financially https://www. google.com/amp/m.timesofi ndia.com/city/nagpur/Modis-demonetization-set-to-cripple-Naxalites-financially/amp_articleshow/55379177.cms?client=safari …";;;;"798306913536589824";https://twitter.com/vaswati16th/status/798306913536589824
k_ramiya;2016-11-14 15:22;0;0;"Unfortunately this demonetization eventhough looks good for public will not help in catching any big black money holders. https:// twitter.com/k_ramiya/statu s/798304406726791168 …";;;;"798305024984002561";https://twitter.com/k_ramiya/status/798305024984002561
rotormagic;2016-11-14 15:20;10;7;"You Will be Shocked to Know What Has Happened to Naxals and Maoists After Demonetization of Old Notes! http:// postcard.news/will-shocked-k now-happened-naxals-maoists-demonetization-old-notes/ …";;;;"798304646779441152";https://twitter.com/rotormagic/status/798304646779441152
k_ramiya;2016-11-14 15:19;0;0;"Instead of demonetization , acting against benami land holders would have been best step to catch real black money holders. @narendramodi";;@narendramodi;;"798304406726791168";https://twitter.com/k_ramiya/status/798304406726791168
nippynews;2016-11-14 15:15;0;0;"LiveMint - Market News - Paytm claims record number of transactions after govts demonetization move - http://www. livemint.com/Companies/gWu1 8E6zIzsI0tfsANYsFL/Paytm-claims-record-number-of-transactions-after-govts-demo.html …";;;;"798303275380604932";https://twitter.com/nippynews/status/798303275380604932
DrBhava;2016-11-14 15:11;4;6;"Demonetization -This is a new Indian sunrise & entire finance machinery is recalibrated plz. http://www. dnaindia.com/analysis/colum n-this-is-a-new-indian-sunrise-2273153 … @Swamy39";;@Swamy39;;"798302485282582528";https://twitter.com/DrBhava/status/798302485282582528
Raghu6515;2016-11-14 15:11;0;0;"People who r dying due to this demonetization must be declared as Martyr They r dying in fight against Black Money.Not less than a soldier.";;;;"798302305607028740";https://twitter.com/Raghu6515/status/798302305607028740
hiindustanii;2016-11-14 15:07;1;2;"Wish Indians led such protests against Modi and his #Demonetization #NoteBan https:// twitter.com/foxnews/status /798291419513241600 …";;;#Demonetization #NoteBan;"798301356947742720";https://twitter.com/hiindustanii/status/798301356947742720
akbagaria;2016-11-14 15:06;0;0;"Move To Demonetization Economy Will Help Bring Down Inflation नोटबंदी के फायदे: नकली करं http://www. empowr.com/ashokbagaria?p =77JL … pic.twitter.com/j3LqTfmxo0";;;;"798300986318069760";https://twitter.com/akbagaria/status/798300986318069760
khalidrafiq138;2016-11-14 15:00;0;0;"Now Pak PM Nawaz Sharif announces demonetization of high value Pakistani currency http:// ift.tt/2fQSqnT";;;;"798299607755157505";https://twitter.com/khalidrafiq138/status/798299607755157505
chawla219;2016-11-14 15:00;0;2;"Demonetization currency crunch helping me save this month. #QueueMeinKyunLagna";;;#QueueMeinKyunLagna;"798299513744080897";https://twitter.com/chawla219/status/798299513744080897
faraaz_khan;2016-11-14 14:57;0;0;"No doubt the #demonetization has caused hundreds of crores of man hours wasted waiting in lines, and TREMENDOUS... http:// fb.me/XUljkk6D";;;#demonetization;"798298946053369856";https://twitter.com/faraaz_khan/status/798298946053369856
DrBhava;2016-11-14 14:57;0;5;"Many parties feel it is better to postpone GST discussion in the parliament plz. #demonetization @Swamy39 @ssavitri115";;@Swamy39 @ssavitri115;#demonetization;"798298843796250624";https://twitter.com/DrBhava/status/798298843796250624
v_vthiruk;2016-11-14 14:54;0;0;"@business First they have to pay taxes. With demonetization I expect the tax revenue to double next year.";;@business;;"798297976149975040";https://twitter.com/v_vthiruk/status/798297976149975040
BloggerAu;2016-11-14 14:46;0;0;"Social media backlash forces Paytm to take down ad targeting India's demonetization - Mashable : http:// fat.ly/fftP";;;;"798296154635022337";https://twitter.com/BloggerAu/status/798296154635022337
khalidrafiq138;2016-11-14 14:46;0;0;"Digital money is KING! Small vendors across India unzip their e-wallets as demonetization sweeps away 86 per cent … http:// ift.tt/2fatGa9";;;;"798296109793898496";https://twitter.com/khalidrafiq138/status/798296109793898496
Abhinay_Sali;2016-11-14 14:44;0;0;"A) Demonetization had to be done B)It could've been executed well Fall in A∩B? Believers of one of A or B would name you antinational/sanghi";;;;"798295492119539712";https://twitter.com/Abhinay_Sali/status/798295492119539712
micro_view;2016-11-14 14:37;1;0;"All netas r suddenly worried about common people Even the side effect of demonetization is a welcome change #IAmWithModi";;;#IAmWithModi;"798293911928066049";https://twitter.com/micro_view/status/798293911928066049
kumar_mukesh162;2016-11-14 14:37;1;0;"Do you trust @PMOIndia 's motive behind demonetization ? @ArvindKejriwal @DrKumarVishwas @kapsology @aartic02 @msisodia";;@PMOIndia @ArvindKejriwal @DrKumarVishwas @kapsology @aartic02 @msisodia;;"798293782353481728";https://twitter.com/kumar_mukesh162/status/798293782353481728
bharatdabholkar;2016-11-14 14:36;8;6;"I've been a professor of economics and I support demonetization : Buddhadeb Dasgupta - Times of India http:// fb.me/1w5U38dzQ";;;;"798293664556519424";https://twitter.com/bharatdabholkar/status/798293664556519424
n2r3ndr2;2016-11-14 14:36;0;0;"Demonetization | This is a new Indian sunrise http://www. dnaindia.com/analysis/colum n-this-is-a-new-indian-sunrise-2273153 … via NMApp pic.twitter.com/CVy6HWhits";;;;"798293630754627585";https://twitter.com/n2r3ndr2/status/798293630754627585
prdpprabhu;2016-11-14 14:36;3;0;"We stood in a similar long queue for the Aadhar card registration, while the demonetization is a much revolutionary step #IAmWithModi";;;#IAmWithModi;"798293608826707968";https://twitter.com/prdpprabhu/status/798293608826707968
ShantiseAshanTi;2016-11-14 14:34;0;0;"They are angry cos Modi did not share with them plan of demonetization #ArnabOnBlackmoney https:// twitter.com/ani_news/statu s/798198868210905088 …";;;#ArnabOnBlackmoney;"798293045288570880";https://twitter.com/ShantiseAshanTi/status/798293045288570880
USRealityCheck;2016-11-14 14:34;0;0;"One week of demonetization in India: the good, the bad, and the ugly http:// qz.com/836378/one-wee k-of-narendra-modis-demonetisation-in-india-the-good-the-bad-and-the-ugly/ … #USRC pic.twitter.com/VWF0pOx2X5";;;#USRC;"798292994738757634";https://twitter.com/USRealityCheck/status/798292994738757634
heir_malkit;2016-11-14 14:33;0;0;"16 people have already died after the announcement of demonetization scheme in... http:// ln.is/KHbR1 by #PreetiSMenon via @c0nvey";;@c0nvey;#PreetiSMenon;"798292865600327680";https://twitter.com/heir_malkit/status/798292865600327680
kannaniyyer;2016-11-14 14:28;0;0;"80% of transporters go off-roads due to demonetization of Rs 500 & 1000 http:// toi.in/EbToQa/a19ci #DeMonetisationNotBad #ImplementationIs";;;#DeMonetisationNotBad #ImplementationIs;"798291532142899201";https://twitter.com/kannaniyyer/status/798291532142899201
NewslinerIndia;2016-11-14 14:27;0;0;"Demonetization : High-and-might left high and dry, Parliament House ATMs too run dry http:// dlvr.it/Mg2WBf";;;;"798291210305564674";https://twitter.com/NewslinerIndia/status/798291210305564674
NewslinerIndia;2016-11-14 14:27;0;0;"Demonetization | Narendra Modi's 'daring' move ended terror-funding in Kashmir: Manohar Parrikar http:// dlvr.it/Mg2W6T";;;;"798291202751668224";https://twitter.com/NewslinerIndia/status/798291202751668224
qz;2016-11-14 14:24;12;11;"One week of demonetization in India: the good, the bad, and the ugly http:// qz.com/836378";;;;"798290636138954752";https://twitter.com/qz/status/798290636138954752
gargvivek1;2016-11-14 14:23;0;0;"came across this video 'Middle class launda' super funny video on kejriwal's take on #demonetization :) https://www. facebook.com/bollywoodclass room/videos/1816351481938946/ …";;;#demonetization;"798290237738741760";https://twitter.com/gargvivek1/status/798290237738741760
manikantaiyer;2016-11-14 14:19;1;2;"Demonetization | This is a new Indian sunrise http://www. dnaindia.com/analysis/colum n-this-is-a-new-indian-sunrise-2273153 … via NMApp pic.twitter.com/oV57qLoMCk";;;;"798289275871559680";https://twitter.com/manikantaiyer/status/798289275871559680
SaurabhnetV;2016-11-14 14:19;0;0;"#DeMonetisation Taklif toh bahut hua currency ban se, but issi bahane English ka ek naya word bhi seekh gaya. #demonetization @OxfordWords";;@OxfordWords;#DeMonetisation #demonetization;"798289190819627009";https://twitter.com/SaurabhnetV/status/798289190819627009
avi_saxena;2016-11-14 14:17;0;0;"Prime Minsiter: WE WELCOME DEMONETIZATION - Sign the Petition! http:// ln.is/www.change.org /p/WMRoX … via @Change";;@Change;;"798288703592480768";https://twitter.com/avi_saxena/status/798288703592480768
iBratati;2016-11-14 14:16;0;0;"@jah_crastafari u'v prob wt demonetization so u dnt think twice b4 hurling personal attacks on a celeb supporting its purpose.R u even real?";;@jah_crastafari;;"798288487195627520";https://twitter.com/iBratati/status/798288487195627520
BlackWhite_;2016-11-14 14:16;0;0;"Three charts that show why demonetization is painful - The importance of cash in India can be seen from the fac... http:// ow.ly/utZk506v1z1";;;;"798288450424283136";https://twitter.com/BlackWhite_/status/798288450424283136
aadabtelangana;2016-11-14 14:15;0;0;"New post on my blog: Demonetization : PM Modi says he has given sound sleep to poor, opposition calls it 'economic … http:// ift.tt/2gbl2we";;;;"798288383432855553";https://twitter.com/aadabtelangana/status/798288383432855553
indiacause;2016-11-14 14:15;0;0;"Countercurrent waves try to make ripples in otherwise calm waters : Demonizing Demonetization http:// fb.me/9bhgAxRKD";;;;"798288320153255936";https://twitter.com/indiacause/status/798288320153255936
griglani;2016-11-14 14:13;2;1;"Demonetization is a hollow move http:// fb.me/10HBbFjnJ";;;;"798287888806907904";https://twitter.com/griglani/status/798287888806907904
fotuzlab;2016-11-14 14:10;1;2;"If they deposited... isn't that the goal of this move? It is accounted now. What's the agenda of demonizing #demonetization @ArvindKejriwal https:// twitter.com/ramanmann1974/ status/798159841470447616 …";;@ArvindKejriwal;#demonetization;"798287033353400320";https://twitter.com/fotuzlab/status/798287033353400320
buzzdreamz;2016-11-14 14:10;0;0;"Baadshaho gets delayed by 10 days due to demonetization http:// bit.ly/2g7DoyV #AjayDevgn #BAADSHAHO #MilanLuthria #EshaGupta #EmraanHashmi";;;#AjayDevgn #BAADSHAHO #MilanLuthria #EshaGupta #EmraanHashmi;"798286890600235008";https://twitter.com/buzzdreamz/status/798286890600235008
deepakuniyal;2016-11-14 14:05;1;0;"The political parties and their leaders who r opposing demonetization hv something in common - "irrelevance" & "uselessness". #MODIfication";;;#MODIfication;"798285777549533184";https://twitter.com/deepakuniyal/status/798285777549533184
isumitksinha;2016-11-14 14:02;0;0;"Demonetization a bold move, but could hurt markets for next 6 months: Christopher Wood https:// goo.gl/fb/kJVqey";;;;"798285120507613184";https://twitter.com/isumitksinha/status/798285120507613184
indiacause;2016-11-14 13:59;0;0;"No cash - no stone pelting in Kashmir : Demonetization http:// fb.me/V5bO1qwZ";;;;"798284122019901440";https://twitter.com/indiacause/status/798284122019901440
drsatya74;2016-11-14 13:48;0;1;"You Will be Shocked to Know What Has Happened to Naxals and Maoists After Demonetization of Old Notes! http:// postcard.news/will-shocked-k now-happened-naxals-maoists-demonetization-old-notes/ …";;;;"798281381650440192";https://twitter.com/drsatya74/status/798281381650440192
smarttechhq;2016-11-14 13:48;0;0;"[DEV]I made an App to track ATM status in news of the recent Demonetization in India via /r/Android http:// ift.tt/2fLzjMW";;;;"798281354618306560";https://twitter.com/smarttechhq/status/798281354618306560
goldenarcher;2016-11-14 13:42;1;0;"The man has gone insane with joy that finally PM Narendra Modi is now going all guns blazing after the corrupt. #Demonetization https:// twitter.com/GauravPandhi/s tatus/798160686580801536 …";;;#Demonetization;"798279923697741824";https://twitter.com/goldenarcher/status/798279923697741824
